,media,date,A1,A2,"agreement 
(K & R)","AQ related
Both 1",url,heading,matches
169,TOI,2020-12-13,0,0,1,0,http://timesofindia.indiatimes.com//city/kolkata/man-dies-of-co-poisoning-two-days-after-wedding/articleshow/79699809.cms,Kolkata: Man dies of CO poisoning two days after wedding,{'carbon monoxide': 2}
170,Hindu,2016-03-09,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/pollution-remains-in-floodplains-due-to-sink-effect-study/article8329320.ece,Pollution remains in floodplains due to sink effect: study,"{'air pollution': 1, 'pm2.5': 1, 'pm10': 2, 'pm 2.5': 1}"
171,TOI,2018-12-23,0,0,1,0,http://timesofindia.indiatimes.com//city/ghaziabad/2nd-autopsy-done-sailors-body-buried/articleshow/67212392.cms,"2nd autopsy done, sailor’s body buried",{'carbon monoxide': 1}
172,TOI,2015-03-21,1,1,1,1,http://timesofindia.indiatimes.com//home/environment/pollution/Fresh-air-calls-for-polio-like-drive/articleshow/46641621.cms,Fresh air calls for polio-like drive,"{'air pollution': 3, 'air quality': 5, 'pm10': 1, 'ozone': 1, 'pm 2.5': 1, 'so2': 1}"
173,TOI,2021-01-14,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/cold-wave-tightens-its-grip-on-delhi-very-dense-fog-expected-for-2-days/articleshow/80257752.cms,"Cold wave tightens its grip on Delhi, very dense fog expected for 2 days","{'air quality': 3, 'aqi': 1}"
174,TOI,2015-12-09,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/Beijing-smog-stays-despite-curbs/articleshow/50098435.cms,Beijing smog stays despite curbs,"{'air pollution': 3, 'air quality': 4, 'aqi': 3, 'pm2.5': 1}"
175,Hindu,2016-11-04,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/Gurugram-sees-tenfold-spike-in-PM-2.5-levels-in-three-days/article16436165.ece,Gurugram sees tenfold spike in PM 2.5 levels in three days,"{'pm 2.5': 4, 'stubble burning': 2, 'smog': 1}"
176,Hindu,2018-05-03,1,1,1,1,https://www.thehindu.com/news/cities/mumbai/who-pollution-report-flawed-mpcb-officials/article23753363.ece,WHO pollution report flawed: MPCB officials,"{'air pollution': 5, 'air quality': 3, 'pm10': 1, 'pm 2.5': 3, 'pm 10': 2}"
177,TOI,2017-12-01,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/air-very-poor-again-may-not-improve-soon/articleshow/61872489.cms,Air very poor again; may not improve soon,"{'air quality': 3, 'aqi': 1}"
178,Hindu,2015-12-20,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/ngt-orders-inspection-of-wastetoenergy-plants-in-delhi/article8009370.ece,NGT orders inspection of waste-to-energy plants in Delhi,{'air quality': 3}
179,TOI,2018-06-13,1,1,1,1,http://timesofindia.indiatimes.com//home/environment/global-warming/human-activities-sole-cause-for-warmer-india/articleshow/64564685.cms,Human activities sole cause for warmer India',{'air pollution': 2}
180,Hindu,2016-11-05,1,1,1,1,https://www.thehindu.com/news/national/tamil-nadu/Panchayat-union-school-students-display-projects-at-science-fair/article16437323.ece,Panchayat union school students display projects at science fair,{'ozone': 1}
181,TOI,2016-02-02,1,1,1,1,http://timesofindia.indiatimes.com//city/thane/Construction-More-Vehicles-To-Be-Blamed/articleshow/50811343.cms,"Construction, More Vehicles To Be Blamed",{'air quality': 2}
182,TOI,2019-06-08,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/heatwave-relents-but-relief-wont-last-long/articleshow/69697266.cms,"Delhi: Heatwave relents, but relief won’t last long","{'air quality': 2, 'pm2.5': 1, 'pm10': 1, 'ozone': 1}"
183,TOI,2018-08-03,1,1,1,1,http://timesofindia.indiatimes.com//city/mumbai/can-vertical-gardens-be-the-green-lung-that-mumbai-needs/articleshow/65242896.cms,Can vertical gardens be the green lung that Mumbai needs?,"{'air quality': 2, 'smog': 1}"
184,TOI,2011-10-21,1,1,1,1,http://timesofindia.indiatimes.com//city/hyderabad/Abattoir-butchers-rules/articleshow/10434624.cms,Abattoir butchers rules,{'air pollution': 1}
185,TOI,2019-06-23,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/4-day-rain-relief-from-today-met/articleshow/69909671.cms,4-day rain relief from today in Delhi: Met,"{'air quality': 5, 'aqi': 2, 'pm2.5': 1, 'ozone': 3}"
186,TOI,2016-06-05,1,1,1,1,http://timesofindia.indiatimes.com//life-style/fashion/buzz/World-Environment-Day-2016-Whats-fashions-role/articleshow/52599342.cms,World Environment Day: Fashion is the dirtiest polluter,{'air quality': 1}
187,TOI,2010-05-22,0,1,0,0,http://timesofindia.indiatimes.com//life-style/health-fitness/health-news/The-cancer-attack/articleshow/5962115.cms,The cancer attack,{'ozone': 1}
188,TOI,2017-11-18,1,1,1,1,http://timesofindia.indiatimes.com//city/lucknow/sprinkling-to-impact-water-supply-later/articleshow/61697715.cms,Sprinkling to impact water supply later?,{'smog': 2}
189,Hindu,2019-01-18,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/cpcb-slaps-fine-of-1-crore-each-on-municipal-bodies/article26019611.ece,CPCB slaps fine of ₹1 crore each on municipal bodies,{'air pollution': 1}
190,TOI,2018-05-13,1,1,1,1,http://timesofindia.indiatimes.com//citizen-reporter/stories/wastingresources/articleshow/64142815.cms,wasting resources,{'air quality': 1}
191,TOI,2015-12-11,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/If-Delhi-was-Beijing-it-would-shut-29-of-30-days/articleshow/50129301.cms,"If Delhi was Beijing, it would shut 29 of 30 days","{'air pollution': 1, 'air quality': 3, 'aqi': 7, 'pm10': 1, 'smog': 1}"
192,TOI,2019-06-04,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/some-relief-from-heat-delhi-may-see-light-rain/articleshow/69640583.cms,"Some relief from heat, Delhi may see light rain","{'air quality': 3, 'pm10': 2, 'ozone': 2}"
193,TOI,2016-01-27,1,1,1,1,http://timesofindia.indiatimes.com//humour/third-edit/Loud-and-clear-Indians-seem-to-have-the-worlds-greatest-lung-power/articleshow/50739867.cms,Loud and clear: Indians seem to have the world's greatest lung power,{'air pollution': 1}
194,TOI,2018-09-03,1,1,1,1,http://timesofindia.indiatimes.com//city/chennai/port-to-sweep-out-sooty-repute-gets-vacuum-vehicle/articleshow/65652561.cms,"Port to sweep out sooty repute, gets vacuum vehicle","{'air quality': 3, 'carbon monoxide': 1, 'sulphur dioxide': 1}"
195,TOI,2013-12-01,1,1,1,1,http://timesofindia.indiatimes.com//city/pune/Disregard-for-traffic-rules-not-BRTS-behind-accidents/articleshow/26654282.cms,"Disregard for traffic rules, not BRTS, behind accidents'",{'air pollution': 1}
196,TOI,2013-12-17,1,1,1,1,http://timesofindia.indiatimes.com//city/chennai/Vehicle-fumes-construction-dust-cause-drop-in-Adyar-air-quality/articleshow/27498813.cms,"Vehicle fumes, construction dust cause drop in Adyar air quality","{'air pollution': 2, 'air quality': 1}"
197,TOI,2016-11-27,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/I-agree-with-Kejriwal-government-in-99-of-cases-says-Najeeb-Jung/articleshow/55644506.cms,"I agree with Kejriwal government in 99% of cases, says Najeeb Jung",{'air pollution': 1}
198,TOI,2010-11-13,1,1,1,1,http://timesofindia.indiatimes.com//city/chandigarh/Smog-back-to-haunt-frequent-flyers-in-Chandigarh/articleshow/6916681.cms,Smog back to haunt frequent flyers in Chandigarh,{'smog': 1}
199,Hindu,2016-11-17,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/NGT-questions-L-G%E2%80%99s-move-to-lift-ban-on-construction-in-Delhi/article16460010.ece,NGT questions L-G’s move to lift ban on construction in Delhi,"{'air pollution': 3, 'air quality': 3, 'pm2.5': 3, 'pm10': 3}"
